file,line,clip,category,count,statement,dataset
motion_imitation/retarget_motion/retarget_config_go2.py,103,walk_869488000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.06, -0.07, 0.0]), # FR np.array([-0.08, -0.07, 0.05]), # HR np.array([0.06, 0.12, 0.0]), # FL np.array([-0.08, 0.12, 0.05]), # HL ]",
motion_imitation/retarget_motion/retarget_config_go2.py,111,turn_left_1771233000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(5.0),
motion_imitation/retarget_motion/retarget_config_go2.py,112,turn_left_1771233000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.05, 0.0])",
motion_imitation/retarget_motion/retarget_config_go2.py,113,turn_left_1771233000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.04, -0.07, 0.0]), np.array([-0.04, -0.07, 0.01]), np.array([0.04, 0.07, 0.0]), np.array([-0.04, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,120,start_stop_1271493000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(3.0),
motion_imitation/retarget_motion/retarget_config_go2.py,121,start_stop_1271493000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.05, 0.015])",
motion_imitation/retarget_motion/retarget_config_go2.py,122,start_stop_1271493000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.11, -0.07, 0.0]), np.array([-0.08, -0.07, 0.01]), np.array([0.11, 0.07, 0.0]), np.array([-0.08, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,129,start_stop_785558000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(3.0),
motion_imitation/retarget_motion/retarget_config_go2.py,130,start_stop_785558000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.02, 0.015])",
motion_imitation/retarget_motion/retarget_config_go2.py,131,start_stop_785558000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.15, -0.07, 0.0]), np.array([-0.08, -0.07, 0.01]), np.array([0.15, 0.07, 0.0]), np.array([-0.08, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,138,slow_turn_1771233000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(7.0),
motion_imitation/retarget_motion/retarget_config_go2.py,139,slow_turn_1771233000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.05, 0.0])",
motion_imitation/retarget_motion/retarget_config_go2.py,140,slow_turn_1771233000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.07, -0.07, 0.0]), np.array([-0.06, -0.07, 0.01]), np.array([0.07, 0.07, 0.0]), np.array([-0.06, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,147,slow_1313807000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(3),
motion_imitation/retarget_motion/retarget_config_go2.py,148,slow_1313807000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.02, 0.015])",
motion_imitation/retarget_motion/retarget_config_go2.py,149,slow_1313807000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.12, -0.07, 0.0]), np.array([-0.06, -0.07, 0.01]), np.array([0.12, 0.07, -.03]), np.array([-0.06, 0.07, -0.02]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,155,slow_1313807000,clip trimming (frame range),1,self.start_frame=3,
motion_imitation/retarget_motion/retarget_config_go2.py,157,left_right_turn_2058226999,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(2.0),
motion_imitation/retarget_motion/retarget_config_go2.py,158,left_right_turn_2058226999,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.04, 0.05, 0.015])",
motion_imitation/retarget_motion/retarget_config_go2.py,159,left_right_turn_2058226999,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.09, -0.07, 0.0]), # FR np.array([-0.05, -0.085, 0.01]), # HR np.array([0.09, 0.07, 0.0]), # FL np.array([-0.05, 0.085, 0.01]), # HL ]",
motion_imitation/retarget_motion/retarget_config_go2.py,166,stairs_1_5199540000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(1.2),
motion_imitation/retarget_motion/retarget_config_go2.py,167,stairs_1_5199540000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.05, 0.04, 0.0])",
motion_imitation/retarget_motion/retarget_config_go2.py,168,stairs_1_5199540000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.2,
motion_imitation/retarget_motion/retarget_config_go2.py,169,stairs_1_5199540000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,170,stairs_1_5199540000,clip trimming (frame range),1,self.end_frame = 35,
motion_imitation/retarget_motion/retarget_config_go2.py,177,stairs_1_5199540000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.05, -0.07, 0.0]), np.array([-0.05, -0.07, 0.01]), np.array([0.05, 0.07, 0.0]), np.array([0.5, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,184,stairs_2_5299211000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(1.2),
motion_imitation/retarget_motion/retarget_config_go2.py,185,stairs_2_5299211000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.05, 0.04, 0.0])",
motion_imitation/retarget_motion/retarget_config_go2.py,186,stairs_2_5299211000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.2,
motion_imitation/retarget_motion/retarget_config_go2.py,187,stairs_2_5299211000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,188,stairs_2_5299211000,clip trimming (frame range),1,self.end_frame = 35,
motion_imitation/retarget_motion/retarget_config_go2.py,195,stairs_2_5299211000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.025, -0.07, 0.0]), np.array([-0.05, -0.07, 0.01]), np.array([0.025, 0.07, 0.0]), np.array([-0.05, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,202,stairs_3_5339749000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(1.2),
motion_imitation/retarget_motion/retarget_config_go2.py,203,stairs_3_5339749000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.05, 0.04, 0.03])",
motion_imitation/retarget_motion/retarget_config_go2.py,204,stairs_3_5339749000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.0,
motion_imitation/retarget_motion/retarget_config_go2.py,205,stairs_3_5339749000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,206,stairs_3_5339749000,clip trimming (frame range),1,self.end_frame = 35,
motion_imitation/retarget_motion/retarget_config_go2.py,213,stairs_3_5339749000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.01, -0.07, 0.0]), np.array([-0.05, -0.07, 0.01]), np.array([0.01, 0.07, 0.0]), np.array([-0.05, 0.07, 0.01]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,220,obstacle_1_301506103500,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(1.5),
motion_imitation/retarget_motion/retarget_config_go2.py,221,obstacle_1_301506103500,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.0, -0.1])",
motion_imitation/retarget_motion/retarget_config_go2.py,222,obstacle_1_301506103500,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.3,
motion_imitation/retarget_motion/retarget_config_go2.py,223,obstacle_1_301506103500,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,225,obstacle_2_3126098000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([0.12, -0.07, 0.04])",
motion_imitation/retarget_motion/retarget_config_go2.py,226,obstacle_2_3126098000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.1, -0.05, 0.0]), # FR np.array([0, -0.05, 0.01]), # HR np.array([0.1, 0.075, 0.0]), # FL np.array([0, 0.075, 0.01]), # HL ]",
motion_imitation/retarget_motion/retarget_config_go2.py,232,obstacle_2_3126098000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,233,obstacle_2_3126098000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(1.0),
motion_imitation/retarget_motion/retarget_config_go2.py,234,obstacle_2_3126098000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.0,
motion_imitation/retarget_motion/retarget_config_go2.py,236,obstacle_1_3015061000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([0.12, -0.08, 0.04])",
motion_imitation/retarget_motion/retarget_config_go2.py,237,obstacle_1_3015061000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.1, -0.05, 0.0]), # FR np.array([0, -0.05, 0.01]), # HR np.array([0.1, 0.075, 0.0]), # FL np.array([0, 0.075, 0.01]), # HL ]",
motion_imitation/retarget_motion/retarget_config_go2.py,243,obstacle_1_3015061000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,244,obstacle_1_3015061000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(1.0),
motion_imitation/retarget_motion/retarget_config_go2.py,245,obstacle_1_3015061000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.0,
motion_imitation/retarget_motion/retarget_config_go2.py,247,obstacle_3_3015061000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([0, 0, 0.01])",
motion_imitation/retarget_motion/retarget_config_go2.py,248,obstacle_3_3015061000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0, -0.05, 0.0]), # FR np.array([0, -0.075, 0.01]), # HR np.array([0, 0.05, 0.0]), # FL np.array([0, 0.05, 0.01]), # HL ]",
motion_imitation/retarget_motion/retarget_config_go2.py,254,obstacle_3_3015061000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,256,obstacle_3_3015061000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.1,
motion_imitation/retarget_motion/retarget_config_go2.py,257,obstacle_3_3015061000,clip trimming (frame range),1,self.start_frame = 3,
motion_imitation/retarget_motion/retarget_config_go2.py,276,stand_up_2431270000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([0, 0.025, 0.125])",
motion_imitation/retarget_motion/retarget_config_go2.py,277,stand_up_2431270000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET = np.array([0,0,0.00])",
motion_imitation/retarget_motion/retarget_config_go2.py,278,stand_up_2431270000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0, -0.05, 0.0]), # FR np.array([0, -0.075, -0.06]), # HR np.array([0, 0.05, 0.0]), # FL np.array([0, 0.05, -0.06]), # HL ]",
motion_imitation/retarget_motion/retarget_config_go2.py,284,stand_up_2431270000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,286,stand_up_2431270000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 1.0,
motion_imitation/retarget_motion/retarget_config_go2.py,287,stand_up_2431270000,clip trimming (frame range),1,self.end_frame = 28,
motion_imitation/retarget_motion/retarget_config_go2.py,289,stand_up_2431270000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET = [ np.array([0, 0.0, 0.0]), np.array([0, 0.0, 0.0]), np.array([0.1, 0.0, 0.0]), # FL np.array([0, 0.0, 0.0]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,296,box_1_399682000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,297,box_1_399682000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = int(1),
motion_imitation/retarget_motion/retarget_config_go2.py,298,box_1_399682000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.02, 0.015])",
motion_imitation/retarget_motion/retarget_config_go2.py,299,box_1_399682000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.12, -0.07, 0.0]), np.array([-0.11, -0.07, 0.01]), np.array([0.12, 0.07, -.03]), np.array([-0.11, 0.07, -0.02]), ]",
motion_imitation/retarget_motion/retarget_config_go2.py,305,box_1_399682000,retargeting: scale / foot-lift gain,1,self.REF_POS_SCALE = 0.85,
motion_imitation/retarget_motion/retarget_config_go2.py,308,box_2_986388000,retargeting: method switch,1,"self.RETARGET_METHOD = ""retarget_root_pose_improved""",
motion_imitation/retarget_motion/retarget_config_go2.py,309,box_2_986388000,retargeting: scale / foot-lift gain,1,self.feet_z_amplification = 1.5,
motion_imitation/retarget_motion/retarget_config_go2.py,310,box_2_986388000,retargeting: base offset,3,"self.SIM_ROOT_OFFSET_LOCAL = np.array([-0.03, 0.02, 0.015])",
motion_imitation/retarget_motion/retarget_config_go2.py,311,box_2_986388000,retargeting: foot offsets,12,"self.SIM_TOE_OFFSET_LOCAL = [ np.array([0.1, -0.07, 0.0]), # FR np.array([-0.11, -0.07, 0.01]), # HR np.array([0.1, 0.07, -.03]), np.array([-0.11, 0.07, -0.02]), ]",
motion_imitation/retarget_motion/retarget_motion_fromVision.py,82,obstacle_2_3126098000,"keypoint fix (delete, freeze, reorder)",2,"base_motion[[0, 1]] = base_motion[[1, 0]]",
motion_imitation/retarget_motion/retarget_motion_fromVision.py,82,box_1_399682000,"keypoint fix (delete, freeze, reorder)",2,"base_motion[[0, 1]] = base_motion[[1, 0]]",
motion_imitation/retarget_motion/retarget_motion_fromVision.py,82,box_2_986388000,"keypoint fix (delete, freeze, reorder)",2,"base_motion[[0, 1]] = base_motion[[1, 0]]",
motion_imitation/retarget_motion/retarget_motion_fromVision.py,109,stand_up_2431270000,"keypoint fix (delete, freeze, reorder)",4,"feet_motion[[2,3],10:,1] = feet_motion[[2,3],10,1][:, np.newaxis]",
motion_imitation/retarget_motion/retarget_motion_fromVision.py,110,stand_up_2431270000,"keypoint fix (delete, freeze, reorder)",4,"feet_motion[[2,3],10:,0] = feet_motion[[2,3],10,0][:, np.newaxis]",
motion_imitation/retarget_motion/retarget_motion_fromVision.py,111,stand_up_2431270000,"keypoint fix (delete, freeze, reorder)",3,"feet_motion[[1,2],10:,1] = feet_motion[[1,2],10,1][:, np.newaxis]",
motion_imitation/retarget_motion/retarget_motion_fromVision.py,112,stand_up_2431270000,"keypoint fix (delete, freeze, reorder)",4,"feet_motion[[1,2],10:,0] = feet_motion[[1,2],10,0][:, np.newaxis]",
isaac_lab/IsaacLab/rsl_rl/rsl_rl/rsl_rl/datasets/rsi_data.py,30,box_1_399682000,RL: RSI transform / motion weight,7,rsi_params[box_1_399682000_amp.txt] (dataset fromVision_motions_DepthCam_box),fromVision_motions_DepthCam_box
isaac_lab/IsaacLab/rsl_rl/rsl_rl/rsl_rl/datasets/rsi_data.py,35,box_2_986388000,RL: RSI transform / motion weight,7,rsi_params[box_2_986388000_amp.txt] (dataset fromVision_motions_DepthCam_box),fromVision_motions_DepthCam_box
isaac_lab/IsaacLab/datasets/fromVision_motions_DepthCam_extendedWithoutReverse/walk_869488000_amp.txt,0,walk_869488000,RL: RSI transform / motion weight,1,MotionWeight = 2.0,fromVision_motions_DepthCam_extendedWithoutReverse
isaac_lab/IsaacLab/datasets/fromVision_motions_DepthCam_box/walk_869488000_amp_3.txt,0,walk_869488000,RL: RSI transform / motion weight,1,MotionWeight = 0.5,fromVision_motions_DepthCam_box
quadruped_from_video/3d_recon.py,13,walk_869488000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,slow_1313807000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,turn_left_1771233000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,turn_right_1771233000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,slow_turn_1771233000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,left_right_turn_2058226999,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,start_stop_1271493000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,start_stop_785558000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,stairs_1_5199540000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,stairs_2_5299211000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,stairs_3_5339749000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,box_1_399682000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,box_2_986388000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,stand_up_2431270000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,obstacle_1_3015061000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,obstacle_2_3126098000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
quadruped_from_video/3d_recon.py,13,obstacle_3_3015061000,clip trimming (frame range),2,"start_idx_files / end_idx_files (set by hand per clip; e.g. '# 254 for maila, 24 for walk')",
motion_imitation/retarget_motion/retarget_motion.py,54,pace,clip trimming (frame range),2,"['pace', 'data/dog_walk00_joint_pos.txt', 162, 201]",
motion_imitation/retarget_motion/retarget_motion.py,55,trot,clip trimming (frame range),2,"['trot', 'data/dog_walk03_joint_pos.txt', 448, 481]",
motion_imitation/retarget_motion/retarget_motion.py,56,trot2,clip trimming (frame range),2,"['trot2', 'data/dog_run04_joint_pos.txt', 630, 663]",
motion_imitation/retarget_motion/retarget_motion.py,62,canter,clip trimming (frame range),2,"['canter', 'data/dog_run00_joint_pos.txt', 430, 459]",
motion_imitation/retarget_motion/retarget_motion.py,63,right turn0,clip trimming (frame range),2,"['right turn0', 'data/dog_walk09_joint_pos.txt', 1000, 1150]",
motion_imitation/retarget_motion/retarget_motion.py,64,left turn0,clip trimming (frame range),2,"['left turn0', 'data/dog_walk09_joint_pos.txt', 2404, 2450]",
